Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_CYTBDpp	2 H+[c] + 0.5 O2 O2[c] + Ubiquinol-8[c] => H2O H2O[c] + 2 H+[p] + Ubiquinone-8[c] 	(G_b0978 and G_b0979) or (G_b0734 and G_b0733 and G_b4515)	  0.00	1000.00	  0.00
R_CYTBO3_4pp	4 H+[c] + 0.5 O2 O2[c] + Ubiquinol-8[c] => H2O H2O[c] + 4 H+[p] + Ubiquinone-8[c] 	G_b0432 and G_b0431 and G_b0429 and G_b0430	  0.00	1000.00	  0.00
R_CYTD	Cytidine[c] + H2O H2O[c] + H+[c] => Ammonium[c] + Uridine[c] 	G_b2143	  0.00	1000.00	  0.00
R_CYTDH	Cytidine[c] + H2O H2O[c] => Cytosine[c] + D-Ribose[c] 	G_b2162 or G_b0651 or G_b0030	  0.00	1000.00	  0.00
R_CYTDK1	ATP C10H12N5O13P3[c] + Cytidine[c] => ADP C10H12N5O10P2[c] + CMP C9H12N3O8P[c] + H+[c] 	G_b2066	  0.00	1000.00	  0.00
R_CYTDK2	Cytidine[c] + GTP C10H12N5O14P3[c] => CMP C9H12N3O8P[c] + GDP C10H12N5O11P2[c] + H+[c] 	G_b2066	  0.00	1000.00	  0.00
R_CYTDt2pp_copy1	Cytidine[p] + H+[p] => Cytidine[c] + H+[c] 	G_b2393 or G_b2964	  0.00	1000.00	  0.00
R_CYTDt2pp_copy2	Cytidine[p] + H+[p] <=> Cytidine[c] + H+[c] 	G_b2406	-1000.00	1000.00	  0.00
R_CYTDtex	Cytidine[e] <=> Cytidine[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CYTK1	ATP C10H12N5O13P3[c] + CMP C9H12N3O8P[c] <=> ADP C10H12N5O10P2[c] + CDP C9H12N3O11P2[c] 	G_b0910	-1000.00	1000.00	  0.00
R_CYTK2	ATP C10H12N5O13P3[c] + DCMP C9H12N3O7P[c] <=> ADP C10H12N5O10P2[c] + DCDP C9H12N3O10P2[c] 	G_b0910	-1000.00	1000.00	  0.00
R_DAAD	D-Alanine[c] + Flavin adenine dinucleotide oxidized[c] + H2O H2O[c] => Flavin adenine dinucleotide reduced[c] + Ammonium[c] + Pyruvate[c] 	G_b1189	  0.00	1000.00	  0.00
R_DADA	Deoxyadenosine[c] + H2O H2O[c] + H+[c] => Deoxyinosine[c] + Ammonium[c] 	G_b1623	  0.00	1000.00	  0.00
R_DADK	ATP C10H12N5O13P3[c] + DAMP C10H12N5O6P[c] <=> ADP C10H12N5O10P2[c] + DADP C10H12N5O9P2[c] 	G_b0474	-1000.00	1000.00	  0.00
R_DADNt2pp	Deoxyadenosine[p] + H+[p] => Deoxyadenosine[c] + H+[c] 	G_b2393 or G_b2964	  0.00	1000.00	  0.00
